territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59
Liège;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Soins intensifs;13;6;7;0;4;1;1;0;0;0;6;1;0;0;0;0
Liège;Néphrologie;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Médecine d'urgence;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Liège;Oncologie;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Liège;Hématologie et oncologie pédiatrique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Liège;Hématologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Namur;Toutes les spécialités;8;2;6;0;1;0;0;1;0;0;3;1;1;0;0;1
Namur;Réadaptation fonctionnelle et professionnelle des handicapés;3;2;1;0;1;0;0;1;0;0;0;0;0;0;0;1
Namur;Chirurgie orale et maxillo-faciale;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Namur;Soins intensifs;3;0;3;0;0;0;0;0;0;0;1;1;1;0;0;0
Luxembourg;Toutes les spécialités;4;2;2;0;2;0;0;0;0;0;1;1;0;0;0;0
Luxembourg;Réadaptation fonctionnelle et professionnelle des handicapés;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Luxembourg;Chirurgie orale et maxillo-faciale;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Luxembourg;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Luxembourg;Hématologie clinique;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;44;19;25;0;15;2;1;1;0;1;23;1;0;0;0;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;3;2;1;0;1;0;1;0;0;0;0;1;0;0;0;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo-faciale;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Soins intensifs;13;3;10;0;3;0;0;0;0;1;9;0;0;0;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;3;2;1;0;2;0;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;4;3;1;0;2;1;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;6;0;6;0;0;0;0;0;0;0;6;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;4;3;1;0;1;1;0;1;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Oncologie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie et oncologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Hématologie clinique;4;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0
Région de Bruxelles Capitale;Infectiologie clinique;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
